JointAxes_data.tx,JointAxes_data.ty,JointAxes_data.tz,JointAxes_data.rx,JointAxes_data.ry,JointAxes_data.rz
-0.113178673,0.118314358,0.045329732,-27.65567749,-60.80354566,89.96158473
-0.102030456,0.115759974,0.047673669,-26.62118344,-61.24269951,88.89114824
-0.107291645,0.10392901,0.055801437,-25.92219914,-61.73036403,88.8374081
-0.123965266,0.090570016,0.063771823,-26.43016646,-62.26271393,90.14511826
-0.138667348,0.08423702,0.069930652,-27.46140836,-62.75271223,91.61533353
-0.139469198,0.085687335,0.071544058,-28.04320473,-63.19988636,92.0874577
-0.130706187,0.089842747,0.070379466,-28.22059304,-63.67768919,91.84575149
-0.125830411,0.091959617,0.071222927,-28.64633898,-64.23400035,91.95547249
-0.129127572,0.091789381,0.075502927,-29.52543248,-64.84539667,92.76253136
-0.132577394,0.092852643,0.080807514,-30.44391842,-65.44834853,93.6180742
-0.126989913,0.096824326,0.082666318,-30.97786128,-66.0069495,93.85248938
-0.114230419,0.101923981,0.080391165,-31.2130412,-66.52175153,93.60958831
-0.105284835,0.105722663,0.078421469,-31.58975706,-67.02222354,93.60783793
-0.107630307,0.106609281,0.081364484,-32.26672457,-67.55534139,94.2008233
-0.117317308,0.105676948,0.088724918,-33.01566994,-68.16176351,95.04823945
-0.122765639,0.109146439,0.09296399,-33.95612767,-68.86973485,95.88389593
-0.117985766,0.12305826,0.088437997,-35.68731162,-69.69834807,97.01154341
-0.110880912,0.141462512,0.081808702,-38.07164605,-70.66498786,98.56767433
-0.114396352,0.150470956,0.084729848,-39.70970199,-71.78695516,99.93309375
-0.128400787,0.141328542,0.09670826,-39.59286636,-73.04830701,100.4852775
-0.139462834,0.12164065,0.104734172,-38.81931073,-74.32834286,100.6536949
-0.13956497,0.116186943,0.102154784,-39.74276128,-75.43282699,101.8536556
-0.133298675,0.129606949,0.097152529,-43.17750387,-76.23624501,104.9790107
-0.128768378,0.141775928,0.097291131,-47.29468957,-76.76854157,109.1342778
-0.124540654,0.137070131,0.097646658,-49.78996142,-77.21029943,112.3786632
-0.114168456,0.123753186,0.093591207,-50.43844106,-77.67705947,113.7226007
-0.099782488,0.130194824,0.08948125,-51.19815444,-78.0450668,114.3006514
-0.087311097,0.15626684,0.086572035,-53.7406598,-78.19139701,116.0030037
-0.086339245,0.17379588,0.084249942,-57.09388914,-78.20082098,118.8644208
-0.103869133,0.167863226,0.083634918,-58.99502162,-78.26545583,121.3022597
-0.130582618,0.1407256,0.084838851,-59.03509541,-78.44673816,122.6628054
-0.149654811,0.108631233,0.089615535,-58.91602823,-78.59326448,123.9574096
-0.152454559,0.088984745,0.098010303,-59.76929978,-78.60422182,125.8702669
-0.141465986,0.083425119,0.104708736,-60.81670302,-78.61432198,127.4715574
-0.127507353,0.08593884,0.105446313,-61.26954157,-78.77037756,127.939436
-0.122915035,0.092700414,0.102868812,-61.83564499,-78.9541507,128.1639901
-0.128576326,0.100939699,0.100435121,-63.59201351,-78.95118131,129.5595091
-0.131244617,0.111588575,0.0975002,-66.17723298,-78.79845068,131.7963178
-0.118368414,0.12893209,0.091107764,-68.48667118,-78.77150485,133.4249999
-0.097338704,0.150615957,0.083217168,-70.38119441,-78.97571041,134.2752222
-0.090081411,0.165569398,0.079954624,-72.54374091,-79.16743295,135.711118
-0.106491335,0.166511193,0.083359892,-75.20086455,-79.09086487,138.6163622
-0.132592995,0.155640305,0.09010857,-77.75468415,-78.80115933,142.1211955
-0.145484325,0.145781443,0.093410182,-79.87406277,-78.57785266,144.9514941
-0.137972806,0.150081398,0.090689864,-81.66120669,-78.6221475,146.638086
-0.122364836,0.163792779,0.087267481,-82.96873843,-78.91738406,147.3913632
-0.114935458,0.172660051,0.089061506,-83.62391879,-79.28391917,147.8680673
-0.12015453,0.168671829,0.095134298,-84.08565271,-79.54452978,148.854451
-0.128531794,0.155931188,0.099070682,-85.11132424,-79.67300938,150.557995
-0.130660309,0.147428804,0.097662773,-86.66491841,-79.7729375,152.279109
-0.126778325,0.145730821,0.094636476,-87.68860028,-79.94180025,153.0819428
-0.123180539,0.143086103,0.096209235,-87.22426024,-80.16831131,152.7315272
-0.124651558,0.131693351,0.103841026,-85.63873698,-80.34730485,152.0254044
-0.13122761,0.107277327,0.11124401,-84.56774476,-80.31854581,152.3364043
-0.141999244,0.078831997,0.112582693,-85.3642097,-79.90648694,154.4231535
-0.155994024,0.061723346,0.110836109,-87.48798462,-79.15727501,157.3252764
-0.165562264,0.058459917,0.110086067,-89.2420624,-78.54778468,159.2753588
-0.160956252,0.061213808,0.1089501,-89.75269194,-78.5858146,159.5593406
-0.146197191,0.066330534,0.10913767,-89.55545862,-79.17684029,158.9237244
-0.132285178,0.075397509,0.111283001,-89.97197215,-79.74410041,158.8192184
-0.12213563,0.089378792,0.111245467,-91.53206449,-79.93613134,159.7657278
-0.11372048,0.104888397,0.108541281,-93.23326195,-79.90170447,160.8099897
-0.108682464,0.114456065,0.105507665,-94.04104328,-79.86742907,161.2996958
-0.112733852,0.111413704,0.104348817,-94.04321823,-79.78626371,161.7573435
-0.125598363,0.094197552,0.106680854,-94.00122779,-79.56789493,162.7951879
-0.137602293,0.072595388,0.112262453,-94.35212485,-79.33612432,164.130636
-0.140500526,0.061314176,0.118144472,-95.06459511,-79.24380868,165.1636672
-0.136103135,0.06396484,0.12143978,-96.04502552,-79.22347709,165.8259472
-0.131503076,0.072981852,0.121085341,-97.24212943,-79.11489598,166.4530801
-0.130264713,0.081682951,0.118245095,-98.4627902,-78.93520532,167.153947
-0.129506348,0.09055729,0.115153952,-99.52423569,-78.85189499,167.7418594
-0.124921635,0.103084623,0.11341876,-100.5972284,-78.92112057,168.2159021
-0.117116214,0.119332234,0.114031907,-102.0284463,-78.997941,168.8839058
-0.109673077,0.136023637,0.116357904,-103.8041135,-78.94683536,169.879179
-0.103061049,0.149725498,0.117424062,-105.3762548,-78.83736897,170.8006799
-0.095082953,0.15686764,0.114394081,-106.1115842,-78.84504826,171.1097219
-0.086955613,0.156010502,0.108904605,-105.9002208,-79.00697763,170.7479719
-0.083395716,0.152878267,0.106255832,-105.4642228,-79.17799443,170.3042025
-0.086467114,0.157142566,0.108866315,-105.822431,-79.20036889,170.5465924
